rank,source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl_usd,tp_usd,trades,current_net_profit_usd,current_ev_per_trade_usd,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,standard_lot_profit_factor_same_cost_model,standard_lot_win_rate_pct,standard_lot_max_dd_pct_starting_equity_10000,standard_lot_sqn_same_cost_model,history_years,v11_sample_pass,v11_tier1_pass_same_cost_model,net_profit_scale_ratio_vs_qty1
23,35,a23a1634fbd3dcc6f5c3aa917de36eb36be56ffa1872a6fcb292da6ec2e599d4,CANDLE_ENGULFING f10/s89 p1=52.0 p2=66.0 p3=1.0 off=1.25 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,24.5,24.5,143,78.30155500000006,0.5475633216783221,7830.155500000008,54.75633216783223,1.047097060126961,60.83916083916084,88.64003986497111,0.2666886264714796,25.842573579739906,False,False,100.00000000000001
24,17,fe01e28ce137b20655a99477687e9834efcda327d500fe5b3fbd4cae33b6c9e9,DONCHIAN f13/s100 p1=52.0 p2=52.0 p3=1.0 off=4.5 exp=8,DONCHIAN,D1,LIMIT,BOTH,14.5,24.5,169,75.56255000000067,0.44711568047337674,7556.255000000056,44.71156804733761,1.0437313024390058,50.29585798816568,71.43708714010936,0.25184238533325964,25.842573579739906,False,False,99.99999999999984
25,18,5507a162c0e84bfecbaf70a17d651524b033183679efe77fba58985f496ca245,PRICE_STRUCTURE f8/s100 p1=66.0 p2=66.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,15.5,24.0,169,71.10180500000058,0.42072073964497386,7110.180500000064,42.07207396449742,1.0407391940827706,52.071005917159766,67.60871158239051,0.23496795642939763,25.842573579739906,False,False,100.00000000000009
26,40,b1231f77337eb18acc55c359bccb8b91d89b4b3dff4dd4c3ede4dcad06914eb1,CANDLE_ENGULFING f26/s100 p1=66.0 p2=52.0 p3=1.0 off=2.0 exp=1,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,25.0,25.0,137,69.07702000000006,0.5042118248175187,6907.702000000005,50.421182481751856,1.0425424363096614,60.583941605839414,72.14471455478278,0.23685475488443952,25.842573579739906,False,False,99.99999999999999
27,10,a34a96fec4089dd4fff0a3b538b10a8128d88c856653d7e896313ff9d662eddb,CANDLE_ENGULFING f21/s89 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,BOTH,18.0,23.5,193,67.6237100000001,0.3503819170984461,6762.371000000012,35.03819170984462,1.0338596916337432,54.92227979274612,79.36581770852018,0.2211846907040273,25.842573579739906,False,False,100.00000000000003
28,36,6a56cd9d0b403c69eccf9ca1f0356bf89fbec4739f68e3831ed3db01ec2fc678,PRICE_STRUCTURE f5/s100 p1=55.0 p2=52.0 p3=1.0 off=4.75 exp=5,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,18.0,18.0,143,64.52330500000087,0.4512119230769292,6452.330500000084,45.121192307692894,1.0486737501148422,62.93706293706294,73.7321636616891,0.2372651295156298,25.842573579739906,False,False,99.99999999999994
29,41,b4e29578a22e3391e92427ea80f0fbe0e3cde450accde952e7b8ea7c0e901ab2,DONCHIAN f89/s100 p1=66.0 p2=66.0 p3=1.0 off=4.5 exp=5,DONCHIAN,D1,LIMIT,LONG_ONLY,10.5,24.0,137,61.69060000000053,0.45029635036496735,6169.060000000049,45.02963503649671,1.0486331628401098,45.25547445255474,81.52226972394601,0.2381263063271472,25.842573579739906,False,False,99.99999999999993
30,9,f234f59cdf576c1cbd529914c78625557d6bf763118085ec52e8d7ff843a2ef6,DONCHIAN f10/s89 p1=66.0 p2=55.0 p3=1.0 off=4.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,16.0,18.0,195,55.55607000000066,0.28490292307692644,5555.607000000065,28.490292307692645,1.032732840017604,60.51282051282051,66.50719636566296,0.1946203088736314,25.842573579739906,False,False,99.99999999999999
31,23,71f80741d0cb352ec7c29010907d5e239446daa5a322f8ed3b4351f387912173,DONCHIAN f55/s100 p1=52.0 p2=55.0 p3=1.0 off=5.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,11.0,24.0,165,52.457050000000066,0.31792151515151557,5245.705000000016,31.792151515151613,1.0344101928539353,46.06060606060606,77.53130130087365,0.19122344158593826,25.842573579739906,False,False,100.00000000000018
32,20,1a91cbda8cf0437bfa4f33c80c53106ca883fe21db434ebba6d2ed11c6c723c0,PRICE_STRUCTURE f34/s100 p1=66.0 p2=55.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,16.5,24.0,168,51.611355000000685,0.30721044642857553,5161.135500000062,30.721044642857514,1.0288671243731764,52.976190476190474,73.13509362872978,0.1674808655076546,25.842573579739906,False,False,99.99999999999987
33,38,9ec59b5293dbbb6c534a56ca1716612f100a700b82cb126b8a4bf03999febe99,CANDLE_ENGULFING f50/s89 p1=66.0 p2=58.0 p3=1.0 off=4.75 exp=6,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,20.5,21.5,139,49.2378650000004,0.3542292446043194,4923.7865000000365,35.422924460431915,1.035735064853101,61.15107913669065,58.17564232646084,0.19974912938801073,25.842573579739906,False,False,99.99999999999993
34,7,b4a4b2f0dfb2a66d7b5c0873b55c41f4ea8d98da4a000069998aaba6cac59341,CANDLE_ENGULFING f10/s144 p1=66.0 p2=55.0 p3=1.0 off=3.5 exp=7,CANDLE_ENGULFING,D1,LIMIT,BOTH,20.0,24.0,202,34.583280000000045,0.17120435643564377,3458.3280000000013,17.120435643564363,1.0155356326793967,55.94059405940594,89.80367924149466,0.10510661303439066,25.842573579739906,False,False,99.99999999999991
35,3,e583e27b951aede349d3cd1c2355e01a33611017206672718ed2f5eace889dc4,CANDLE_ENGULFING f13/s144 p1=52.0 p2=66.0 p3=1.0 off=2.0 exp=8,CANDLE_ENGULFING,D1,LIMIT,BOTH,13.5,25.0,221,31.085690000000056,0.14065923076923104,3108.568999999994,14.06592307692305,1.014447624813704,46.60633484162896,85.10257773028962,0.10232778236221049,25.842573579739906,False,False,99.99999999999963
36,13,e9a3134547ff50d6c7730ee920e122122ac06c419d84af3bec37e768463b0326,CANDLE_ENGULFING f21/s144 p1=52.0 p2=52.0 p3=1.0 off=0.5 exp=7,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,19.0,19.0,174,26.734030000000217,0.15364385057471389,2673.403000000024,15.364385057471402,1.0171163832209849,62.06896551724138,73.61021720705247,0.10688704820413418,25.842573579739906,False,False,100.00000000000009
37,5,41a2924271b234fbbae9276661d816501221777abbe25bd8cd109b22fa51d632,DONCHIAN f26/s89 p1=66.0 p2=58.0 p3=1.0 off=1.5 exp=8,DONCHIAN,D1,LIMIT,BOTH,20.0,22.5,206,23.323340000000854,0.11322009708738279,2332.3340000000826,11.322009708738266,1.0104365121803776,58.25242718446602,74.39407350562239,0.06799152280259635,25.842573579739906,False,False,99.99999999999987
38,29,d3cc99ae9dabb13f100283fd7973ed1458db906c56aed2600a13adbd08be86b5,PRICE_STRUCTURE f8/s89 p1=66.0 p2=52.0 p3=1.0 off=3.5 exp=5,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,11.5,23.5,148,20.75908000000055,0.14026405405405779,2075.9080000000395,14.026405405405672,1.014725498757403,46.62162162162162,89.48226517449581,0.07744219744147011,25.842573579739906,False,False,99.99999999999925
39,27,c7993af4b2e468a765a361a1dec00c47604091dfc4eb2c03a7119438bd3ad490,DONCHIAN f10/s100 p1=66.0 p2=66.0 p3=1.0 off=1.75 exp=7,DONCHIAN,D1,LIMIT,LONG_ONLY,18.0,23.5,151,15.555880000000741,0.10301907284768702,1555.5880000000616,10.30190728476862,1.0094821769783358,55.629139072847686,85.68827502156856,0.05226202619719258,25.842573579739906,False,False,99.99999999999919
40,21,df2c5c397703793cae33f868da37a71853d173fb391283d3687e5b9038c64f8e,DONCHIAN f5/s100 p1=52.0 p2=66.0 p3=1.0 off=3.25 exp=5,DONCHIAN,D1,LIMIT,BOTH,18.0,22.5,167,14.59300500000046,0.08738326347305665,1459.3005000000485,8.73832634730568,1.0081234819829272,55.68862275449102,80.19155166020796,0.04702112781650782,25.842573579739906,False,False,100.00000000000017
41,24,e7f3b5c51dd7e698bed856440bf8868cd10dc24875e70cf4cf9f9279fe909538,CANDLE_ENGULFING f13/s100 p1=52.0 p2=66.0 p3=1.0 off=1.25 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,16.0,25.0,158,14.475060000000155,0.09161430379746933,1447.5060000000085,9.16143037974689,1.0087613287748387,50.63291139240506,81.59487839635207,0.054031976078746796,25.842573579739906,False,False,99.99999999999952
