source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl,tp,trades,win_rate_pct,profit_factor_net,net_profit,net_expectancy,max_dd_pct,sqn,history_years,sample_pass_v11,baseline_qualified_v11,target_candidate_v11,correlation_max,correlation_gate
36,d284b3fcbac66e2b823790d16202aba127158dd1dcc0db901dd01f6b7421cca1,PRICE_STRUCTURE f14/s100 p1=52.0 p2=66.0 p3=1.0 off=2.5 exp=4,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,21.00,25.00,36,61.11111111,1.27589765,98.87450000,2.74651389,0.78844993,0.71643013,25.84257358,false,false,false,,N/A — belum pre-portfolio
37,2d738b12d8e1fb8846bc6cade4ca3834857dd8a3f5c4c5a20fe1b36b5c7d1399,ZSCORE_REVERSION f26/s55 p1=1.0 p2=30.0 p3=1.0 off=1.5 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,13.50,16.50,77,61.03896104,1.18941586,98.34864000,1.27725506,1.19540413,0.74205378,25.84257358,false,false,false,,N/A — belum pre-portfolio
38,ca302e000a1c71eea2025aa193aebc785e4b6594ac936deb3f4b5caf706d1aa5,ZSCORE_REVERSION f26/s55 p1=2.1 p2=25.0 p3=1.0 off=0.75 exp=8,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,22.00,22.00,10,80.00000000,2.86543684,97.36864000,9.73686400,0.34133760,1.62141797,25.84257358,false,false,false,,N/A — belum pre-portfolio
39,02a6ea83dc9f946d44a499cf4e54e357a55c100355df281f482ad2f612df8e94,ATR_BREAKOUT f8/s10 p1=2.8 p2=55.0 p3=1.0 off=3.5 exp=6,ATR_BREAKOUT,D1,LIMIT,LONG_ONLY,24.00,25.00,13,76.92307692,2.11368676,97.22432000,7.47879385,0.59033446,1.27914666,25.84257358,false,false,false,,N/A — belum pre-portfolio
40,010b3947e73831fbd21a949a9dd7a2cdeb3b1a53698f107d830c6eab11c77794,ZSCORE_REVERSION f26/s89 p1=1.0 p2=25.0 p3=1.0 off=1.75 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,17.00,25.00,24,58.33333333,1.46200399,96.90153000,4.03756375,0.83910826,0.91465766,25.84257358,false,false,false,,N/A — belum pre-portfolio
41,6f9920e59c4b4ffbc1c0f00c6b33572c28ecd03e400b20ed561e8786c9d38a83,DONCHIAN f34/s144 p1=52.0 p2=66.0 p3=1.0 off=3.25 exp=7,DONCHIAN,D1,LIMIT,SHORT_ONLY,25.00,25.00,24,66.66666667,1.39855816,95.54227000,3.98092792,0.62396775,0.79274092,25.84257358,false,false,false,,N/A — belum pre-portfolio
42,87203a33e865cf3a719940f8beb73d2c9fb132b330fc85f49693b802de1fb5ce,PRICE_STRUCTURE f26/s100 p1=55.0 p2=66.0 p3=1.0 off=1.25 exp=6,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,22.00,24.50,153,59.47712418,1.05267720,94.00052000,0.61438248,3.81172125,0.28803939,25.84257358,false,false,false,,N/A — belum pre-portfolio
43,bd32706cb801b2fbf18b764bac19ab89b8844f27b9ecbbc1373bcaedcdc4e5ee,ZSCORE_REVERSION f26/s89 p1=1.3 p2=25.0 p3=1.0 off=4.25 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,22.00,25.00,22,63.63636364,1.44979357,93.77685000,4.26258409,0.61235427,0.85139075,25.84257358,false,false,false,,N/A — belum pre-portfolio
44,f14efb61345072a8099b59ca802f5eb31cf077309759c448577e301263d3ce4c,CANDLE_ENGULFING f26/s144 p1=55.0 p2=52.0 p3=1.0 off=4.0 exp=2,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,19.50,21.50,132,61.36363636,1.07102725,89.35440000,0.67692727,1.67431872,0.38120206,25.84257358,false,false,false,,N/A — belum pre-portfolio
45,0af24c9275e6b9f8f476bfeefc9c016906723f948b4c069b0a84b1615254ae0e,DONCHIAN f26/s144 p1=66.0 p2=66.0 p3=1.0 off=1.0 exp=4,DONCHIAN,D1,LIMIT,BOTH,25.00,25.00,158,61.39240506,1.04622382,88.96324000,0.56305848,3.83094996,0.25901557,25.84257358,false,false,false,,N/A — belum pre-portfolio
46,fd354f7b829768bf93dfce5f7127d73245ab0237fff78c2548f21c6ec1dac37d,PRICE_STRUCTURE f10/s89 p1=66.0 p2=66.0 p3=1.0 off=0.75 exp=8,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,15.00,23.50,166,53.01204819,1.05268384,87.59605000,0.52768705,4.10960458,0.29757174,25.84257358,false,false,false,,N/A — belum pre-portfolio
47,a88bd64c824512d1f5ea0ff82062f7495a53941a9f9f41463d42ff5de4479294,BOLLINGER_REVERSION f26/s34 p1=1.8 p2=25.0 p3=1.0 off=2.0 exp=8,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,20.00,22.50,11,72.72727273,2.17779248,84.31072000,7.66461091,0.29640960,1.24952030,25.84257358,false,false,false,,N/A — belum pre-portfolio
48,1ea0d91bdaff10d7702f1cb4d62f8fec1dc3da0de1ed006e0ddc6945a675bb50,CANDLE_ENGULFING f21/s100 p1=52.0 p2=52.0 p3=1.0 off=4.75 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.50,24.50,129,60.46511628,1.05788299,84.25380000,0.65313023,2.26717253,0.31058429,25.84257358,false,false,false,,N/A — belum pre-portfolio
49,637a015e647d4adaca9e2209e72550212145d1d0073b63b1b2869bb48f168c8b,ZSCORE_REVERSION f21/s34 p1=0.7 p2=25.0 p3=1.0 off=0.75 exp=3,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,22.00,23.00,48,62.50000000,1.17152722,83.23975000,1.73416146,0.98216557,0.53031272,25.84257358,false,false,false,,N/A — belum pre-portfolio
50,f76ddfad49a58847534f434f4116d6bf0a55ee0edc7e68e686c3224d78f21d75,TREND_EMA f89/s100 p1=66.0 p2=52.0 p3=1.0 off=4.25 exp=4,TREND_EMA,D1,LIMIT,BOTH,8.50,10.50,43,53.48837209,1.27824891,82.03576000,1.90780837,1.15943040,0.47069858,25.84257358,false,false,false,,N/A — belum pre-portfolio
51,66ace10c6271e414c41e5422930a9520da8a2f319bacac294075e955191f95ea,BOLLINGER_REVERSION f34/s144 p1=1.2 p2=25.0 p3=1.0 off=0.5 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,16.00,24.00,6,83.33333333,5.12539256,81.97056000,13.66176000,0.19869760,2.03706301,25.84257358,false,false,false,,N/A — belum pre-portfolio
52,cb3887aad5c58b8f00578d7da1623b78d03d1a04aa7ccd6b4884a27cbbffa30d,BOLLINGER_REVERSION f34/s100 p1=1.5 p2=25.0 p3=1.0 off=3.25 exp=4,BOLLINGER_REVERSION,D1,STOP,LONG_ONLY,21.50,25.00,6,83.33333333,4.20706112,81.39008000,13.56501333,0.25378400,1.74157492,25.84257358,false,false,false,,N/A — belum pre-portfolio
53,17df1d28f80591a3dae8c617b682ddfe69ed49f593263ce9bbf9175a08932ca4,CANDLE_ENGULFING f50/s55 p1=58.0 p2=52.0 p3=1.0 off=0.5 exp=1,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,24.50,25.00,139,60.43165468,1.04909265,80.14961000,0.57661590,4.74314336,0.27483119,25.84257358,false,false,false,,N/A — belum pre-portfolio
54,5f86606f25856913450bd6d7abc0754b2641b48700e5a3eeea035f39df032438,DONCHIAN f5/s100 p1=66.0 p2=66.0 p3=1.0 off=1.25 exp=2,DONCHIAN,D1,LIMIT,BOTH,23.00,24.00,169,60.35502959,1.04061578,79.86851000,0.47259473,4.18355852,0.23618101,25.84257358,false,false,false,,N/A — belum pre-portfolio
55,2c3dabfb8fe545c132b891bcb86a2a772f19320d2d8587d8fd00081f56fe97ff,PRICE_STRUCTURE f13/s89 p1=66.0 p2=52.0 p3=1.0 off=2.75 exp=3,PRICE_STRUCTURE,D1,LIMIT,BOTH,17.00,25.00,191,52.87958115,1.03839944,79.75537000,0.41756738,3.64673078,0.24089721,25.84257358,false,false,false,,N/A — belum pre-portfolio
56,d68d858233ff9b8469579729ddf31ad695e4ec82ab455f4c6132737abf7fbf3f,ZSCORE_REVERSION f26/s55 p1=1.3 p2=30.0 p3=1.0 off=2.5 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,18.50,23.00,53,56.60377358,1.15337114,78.96054000,1.48982151,1.26428051,0.51240230,25.84257358,false,false,false,,N/A — belum pre-portfolio
57,78b4f61f5fca0da6cb2f7286412116ae36bba94256c23e8aa94920cdf8de6432,BOLLINGER_REVERSION f34/s144 p1=1.8 p2=25.0 p3=1.0 off=2.5 exp=2,BOLLINGER_REVERSION,D1,STOP,LONG_ONLY,19.00,24.00,6,83.33333333,4.44879720,78.90848000,13.15141333,0.22880000,1.82492373,25.84257358,false,false,false,,N/A — belum pre-portfolio
58,41fd4682a2ed6d0c6d22b54b5d77b19b56d7af64880812530358f01c90c1e668,ZSCORE_REVERSION f34/s55 p1=1.3 p2=25.0 p3=1.0 off=3.0 exp=5,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,24.50,25.00,6,83.33333333,3.76913267,78.51488000,13.08581333,0.28353600,1.57886398,25.84257358,false,false,false,,N/A — belum pre-portfolio
59,a23a1634fbd3dcc6f5c3aa917de36eb36be56ffa1872a6fcb292da6ec2e599d4,CANDLE_ENGULFING f10/s89 p1=52.0 p2=66.0 p3=1.0 off=1.25 exp=5,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,24.50,24.50,143,60.83916084,1.04709706,78.30155500,0.54756332,4.35625683,0.26668863,25.84257358,false,false,false,,N/A — belum pre-portfolio
60,c1d400efa7b78b84522970ea46c5910b118369d8f91143525dd6e6f24ff99410,BOLLINGER_REVERSION f34/s89 p1=1.5 p2=25.0 p3=1.0 off=1.25 exp=4,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,13.50,22.50,6,83.33333333,5.43121581,76.98688000,12.83114667,0.17373760,2.12390266,25.84257358,false,false,false,,N/A — belum pre-portfolio
61,2ab0b7504b3907b66b3b7e4c4cd3146b5fbb667aa105d73c3c0c21cd43e7e189,MOMENTUM_RSI_ROC f89/s100 p1=2.5 p2=66.0 p3=1.0 off=0.5 exp=6,MOMENTUM_RSI_ROC,D1,LIMIT,LONG_ONLY,11.00,25.00,34,44.11764706,1.22658458,76.65726000,2.25462529,1.00693314,0.43792561,25.84257358,false,false,false,,N/A — belum pre-portfolio
62,58ffefdc30c7b73af5b237f2f277ded3c5f097fc3a823ae2fa2952560829cf64,ZSCORE_REVERSION f26/s34 p1=1.7 p2=25.0 p3=1.0 off=5.0 exp=5,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,15.00,19.00,12,75.00000000,2.30238272,76.33088000,6.36090667,0.23137280,1.40956991,25.84257358,false,false,false,,N/A — belum pre-portfolio
63,99a51000b79279677d5040bf66d707f35fb85895c40aabec7cbc24d1a5da7f1d,ZSCORE_REVERSION f34/s89 p1=0.7 p2=25.0 p3=1.0 off=3.25 exp=5,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,24.50,24.50,6,83.33333333,3.68134646,76.02368000,12.67061333,0.28352800,1.54426983,25.84257358,false,false,false,,N/A — belum pre-portfolio
64,fe01e28ce137b20655a99477687e9834efcda327d500fe5b3fbd4cae33b6c9e9,DONCHIAN f13/s100 p1=52.0 p2=52.0 p3=1.0 off=4.5 exp=8,DONCHIAN,D1,LIMIT,BOTH,14.50,24.50,169,50.29585799,1.04373130,75.56255000,0.44711568,3.32812890,0.25184239,25.84257358,false,false,false,,N/A — belum pre-portfolio
65,e0589c8165ab010332561d0214d22a432f995990ef6f716cba3ee89954868551,PRICE_STRUCTURE f8/s144 p1=55.0 p2=66.0 p3=1.0 off=2.75 exp=5,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,17.00,25.00,24,58.33333333,1.34475151,75.53497000,3.14729042,0.44569816,0.70973100,25.84257358,false,false,false,,N/A — belum pre-portfolio
66,5fafa57ccd53217f4e2c8f8bdc560a15122f48164c043441938806740ebd3801,DONCHIAN f5/s100 p1=55.0 p2=55.0 p3=1.0 off=2.25 exp=8,DONCHIAN,D1,LIMIT,SHORT_ONLY,21.50,24.50,38,60.52631579,1.18797594,73.85417000,1.94353079,0.80273963,0.51878254,25.84257358,false,false,false,,N/A — belum pre-portfolio
67,d7d39d6cc8a015cf9a6870e967a3c1f85298cf108a3879d2381eacd98ae9e226,ZSCORE_REVERSION f21/s144 p1=1.3 p2=25.0 p3=1.0 off=2.75 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,25.00,25.00,31,58.06451613,1.18830232,72.88255000,2.35105000,1.34107861,0.43476011,25.84257358,false,false,false,,N/A — belum pre-portfolio
68,0b70033133f836e4fbb16e52c95b8d6f05cc74aac80ff81aee0b1be65c347845,BOLLINGER_REVERSION f34/s144 p1=1.5 p2=25.0 p3=1.0 off=3.25 exp=8,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,23.00,23.50,6,83.33333333,3.70075367,72.52928000,12.08821333,0.26855200,1.55197261,25.84257358,false,false,false,,N/A — belum pre-portfolio
69,5507a162c0e84bfecbaf70a17d651524b033183679efe77fba58985f496ca245,PRICE_STRUCTURE f8/s100 p1=66.0 p2=66.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,15.50,24.00,169,52.07100592,1.04073919,71.10180500,0.42072074,2.82243599,0.23496796,25.84257358,false,false,false,,N/A — belum pre-portfolio
