Date,Open,High,Low,Close,Volume
2025-10-29T22:00:00Z,3921.61,3948.515,3916.59,3941.45,18763.0
2025-10-29T23:00:00Z,3941.46,3954.335,3939.695,3952.975,15027.0
2025-10-30T00:00:00Z,3952.93,3964.36,3938.09,3950.48,23250.0
2025-10-30T01:00:00Z,3950.485,3966.8,3945.24,3948.15,38769.0
2025-10-30T02:00:00Z,3948.09,3948.445,3921.825,3921.96,35446.0
2025-10-30T03:00:00Z,3922.055,3938.305,3915.52,3938.21,31090.0
2025-10-30T04:00:00Z,3938.235,3982.665,3934.735,3972.47,33040.0
2025-10-30T05:00:00Z,3972.505,3978.24,3947.035,3963.975,37350.0
2025-10-30T06:00:00Z,3963.985,3977.415,3956.22,3976.96,33840.0
2025-10-30T07:00:00Z,3976.955,3977.54,3955.94,3961.28,34502.0
2025-10-30T08:00:00Z,3961.295,3977.02,3960.36,3976.585,30411.0
2025-10-30T09:00:00Z,3976.56,4011.705,3976.155,3998.69,34077.0
2025-10-30T10:00:00Z,3998.68,4000.925,3973.655,3984.19,36944.0
2025-10-30T11:00:00Z,3984.245,3985.045,3964.02,3974.515,37029.0
2025-10-30T12:00:00Z,3974.55,3985.685,3961.215,3961.48,57335.0
2025-10-30T13:00:00Z,3961.44,3995.365,3960.32,3995.365,78243.0
2025-10-30T14:00:00Z,3995.385,4015.1,3986.925,3996.425,87471.0
2025-10-30T15:00:00Z,3996.4,4008.775,3988.17,4001.76,49749.0
2025-10-30T16:00:00Z,4001.75,4004.135,3991.165,4001.55,32754.0
2025-10-30T17:00:00Z,4001.545,4018.05,3994.485,4004.505,20210.0
2025-10-30T18:00:00Z,4004.625,4017.715,4000.06,4016.225,36890.0
2025-10-30T19:00:00Z,4016.165,4025.93,4015.39,4023.355,58640.0
2025-10-30T20:00:00Z,4023.305,4027.235,4016.36,4024.525,9967.0
2025-10-30T22:00:00Z,4021.47,4046.595,4016.46,4037.725,14185.0
2025-10-30T23:00:00Z,4037.725,4043.25,4018.925,4036.635,17871.0
2025-10-31T00:00:00Z,4036.625,4037.06,4023.93,4025.01,19584.0
2025-10-31T01:00:00Z,4025.04,4039.58,4012.755,4019.0,40136.0
2025-10-31T02:00:00Z,4018.795,4019.405,4001.415,4011.145,41019.0
2025-10-31T03:00:00Z,4011.175,4013.895,3991.235,3996.315,30063.0
2025-10-31T04:00:00Z,3996.33,4010.79,3989.065,4005.9,24367.0
2025-10-31T05:00:00Z,4005.455,4011.38,3994.115,4005.11,38971.0
2025-10-31T06:00:00Z,4005.14,4014.94,4002.17,4013.34,41488.0
2025-10-31T07:00:00Z,4013.335,4025.72,4007.68,4021.235,39074.0
2025-10-31T08:00:00Z,4021.205,4026.82,4006.94,4010.575,33265.0
2025-10-31T09:00:00Z,4010.46,4014.32,3998.875,4008.59,34474.0
2025-10-31T10:00:00Z,4008.63,4016.84,4003.685,4007.515,31934.0
2025-10-31T11:00:00Z,4007.535,4011.295,4001.745,4010.595,25778.0
2025-10-31T12:00:00Z,4010.66,4036.435,4009.19,4023.06,47126.0
2025-10-31T13:00:00Z,4023.05,4035.725,4010.28,4016.73,72673.0
2025-10-31T14:00:00Z,4016.735,4027.32,4011.06,4020.7,69737.0
2025-10-31T15:00:00Z,4020.665,4023.04,4009.635,4012.6,63490.0
2025-10-31T16:00:00Z,4012.55,4015.3,3972.285,3980.72,68876.0
2025-10-31T17:00:00Z,3980.735,4003.835,3980.575,3997.635,46300.0
2025-10-31T18:00:00Z,3997.625,4010.08,3995.505,3999.92,22500.0
2025-10-31T19:00:00Z,3999.93,4005.475,3991.205,4001.43,27574.0
2025-10-31T20:00:00Z,4001.405,4006.74,3996.28,4002.81,6374.0
2025-11-02T23:00:00Z,3995.47,3999.335,3977.91,3979.67,12165.0
2025-11-03T00:00:00Z,3979.605,3988.505,3962.275,3970.755,23251.0
2025-11-03T01:00:00Z,3970.76,4002.075,3965.28,3996.09,34705.0
2025-11-03T02:00:00Z,3996.055,4006.7,3990.445,4004.21,20924.0
2025-11-03T03:00:00Z,4004.265,4015.45,4002.2,4011.29,19928.0
2025-11-03T04:00:00Z,4011.295,4014.53,4001.85,4003.7,12178.0
2025-11-03T05:00:00Z,4003.71,4018.33,3997.705,4013.935,20769.0
2025-11-03T06:00:00Z,4013.93,4018.795,4010.03,4017.635,22488.0
2025-11-03T07:00:00Z,4017.64,4026.045,4013.62,4025.185,29833.0
2025-11-03T08:00:00Z,4025.195,4028.13,4011.215,4019.715,37018.0
2025-11-03T09:00:00Z,4019.71,4026.11,3993.1,4000.63,41312.0
